doTraining is on 
saveImages is on 
sendNotification is on 
forceConvert is off 
preProcess is off 
partitionData is off 
splitValidation is off 
useCachedNet is off 
recoverCheckpoint is off 
archiveNet is off 
evaluateNet is off 
Checking sequences...
Loaded (meta)data from cache...
[Warning: partitionData is off] 
[> In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('CNN_Segmentation_Train_and_Evaluate', '/home/tyson/Dropbox/Academic/4th Year/ELEN4012/Raiden/matlab/CNN_Segmentation_Train_and_Evaluate.m', 218)" style="font-weight:bold">CNN_Segmentation_Train_and_Evaluate</a> (<a href="matlab: opentoline('/home/tyson/Dropbox/Academic/4th Year/ELEN4012/Raiden/matlab/CNN_Segmentation_Train_and_Evaluate.m',218,0)">line 218</a>)] 
Loaded datastores from cache...
Per-label pixel distribution:
      <strong>Name</strong>      <strong>PixelCount</strong>    <strong>ImagePixelCount</strong>
    <strong>________</strong>    <strong>__________</strong>    <strong>_______________</strong>
    'leader'    2.8531e+06      6.3149e+08   
    'stroke'    7.7115e+05      1.2676e+07   
    'sky'       5.0953e+08      7.4887e+08   
    'cloud'     1.2880e+08      2.6342e+08   
    'ground'    1.0198e+08      7.4897e+08   
    'other'     5.0236e+06      5.3363e+08   
Using training/validation split from cache...
Training images: 11628 
Validation images: 2907 
Testing images: 2451 
Setting up Network...
Network created
Setting up Training...
options = 
  <a href="matlab:helpPopup nnet.cnn.TrainingOptionsSGDM" style="font-weight:bold">TrainingOptionsSGDM</a> with properties:

                     Momentum: 9.0000e-01
             InitialLearnRate: 1.0000e-02
    LearnRateScheduleSettings: [1×1 struct]
             L2Regularization: 3.0000e-03
      GradientThresholdMethod: 'l2norm'
            GradientThreshold: 10
                    MaxEpochs: 30
                MiniBatchSize: 10
                      Verbose: 1
             VerboseFrequency: 50
               ValidationData: [1×1 pixelLabelImageDatastore]
          ValidationFrequency: 25
           ValidationPatience: 6
                      Shuffle: 'every-epoch'
               CheckpointPath: '/home/tyson/Raiden/networks/checkpoints'
         ExecutionEnvironment: 'auto'
                   WorkerLoad: []
                    OutputFcn: []
                        Plots: 'training-progress'
               SequenceLength: 'longest'
         SequencePaddingValue: 0
         DispatchInBackground: 0
Beginning training...
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:11:40 |        3.43% |       44.17% |       1.7918 |       1.5229 |          0.0100 |
|       1 |          25 |       00:23:42 |       31.21% |       42.69% |       1.6476 |       1.5805 |          0.0100 |
|       1 |          50 |       00:35:49 |       56.75% |       57.23% |       1.3913 |       1.3751 |          0.0100 |
|       1 |          75 |       00:47:52 |       38.89% |       27.53% |       1.2067 |       1.1975 |          0.0100 |
|       1 |         100 |       01:00:01 |       20.98% |       25.28% |       1.3376 |       1.1514 |          0.0100 |
|       1 |         125 |       01:12:13 |       46.83% |       57.15% |       1.0047 |       0.8663 |          0.0100 |
|       1 |         150 |       01:24:15 |       66.81% |       51.99% |       0.8317 |       0.7566 |          0.0100 |
|       1 |         175 |       01:36:17 |       80.17% |       71.87% |       0.5043 |       0.7561 |          0.0100 |
|       1 |         200 |       01:48:26 |       65.64% |       79.30% |       0.4813 |       0.5793 |          0.0100 |
|       1 |         225 |       02:00:30 |       51.85% |       59.49% |       0.9225 |       1.0430 |          0.0100 |
|       1 |         250 |       02:12:34 |       68.20% |       69.16% |       0.8767 |       0.7764 |          0.0100 |
|       1 |         275 |       02:24:39 |       57.18% |       53.97% |       0.7063 |       0.7036 |          0.0100 |
|       1 |         300 |       02:36:50 |       78.94% |       72.61% |       0.5506 |       0.5984 |          0.0100 |
|       1 |         325 |       02:49:01 |       72.86% |       68.23% |       0.3972 |       0.5434 |          0.0100 |
|       1 |         350 |       03:01:13 |       73.45% |       75.46% |       0.4288 |       0.4832 |          0.0100 |
|       1 |         375 |       03:13:28 |       60.29% |       70.02% |       0.8120 |       0.5781 |          0.0100 |
|       1 |         400 |       03:25:33 |       76.38% |       73.15% |       0.4599 |       0.5088 |          0.0100 |
|       1 |         425 |       03:37:40 |       76.82% |       72.96% |       0.3680 |       0.4530 |          0.0100 |
|       1 |         450 |       03:49:49 |       83.35% |       81.00% |       0.4389 |       0.4189 |          0.0100 |
|       1 |         475 |       04:01:56 |       83.07% |       82.46% |       0.3606 |       0.3621 |          0.0100 |
|       1 |         500 |       04:14:11 |       73.67% |       77.41% |       0.3588 |       0.3731 |          0.0100 |
|       1 |         525 |       04:26:27 |       81.85% |       79.13% |       0.3891 |       0.3774 |          0.0100 |
